title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,mb_year,mb_year_source,deezer_year,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,final_year
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),"felix jaehn, Jasmine Thompson",2018,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2018 (estimated_year) differs from MusicBrainz 2015,2018,2018,2015,mb_ok,2015,,,,2015,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2018 (csv_year) differs from MusicBrainz 2015,3,3c8iiZGfEammKJuWTErE5x,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),"felix jaehn, Jasmine Thompson",playlist_import,,DEUM71500425,true,
Don't Stop,Fleetwood Mac,1988,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1988 (estimated_year) differs from MusicBrainz 1977,1988,1988,1977,mb_ok,1977,,,,1977,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1988 (csv_year) differs from MusicBrainz 1977,11,6l6vgKIgXLnqgSMqf4nGNc,Don't Stop,Fleetwood Mac,playlist_import,,USWB19900180,true,
"Ella, elle l'a",France Gall,2005,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2005 (estimated_year) differs from MusicBrainz 1987,2005,2005,1987,mb_ok,1987,,,,1987,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2005 (csv_year) differs from MusicBrainz 1987,18,6fyyO9wAmiW9oEAXrOR8jQ,"Ella, elle l'a",France Gall,playlist_import,,FRT198700050,true,
Paloma Blanca,George Baker Selection,2003,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2003 (estimated_year) differs from MusicBrainz 1975,2003,2003,1975,mb_ok,2003,,,,1975,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2003 (csv_year) differs from MusicBrainz 1975,28,37dPgiT3cY5XFbG3Ldq7zv,Paloma Blanca,George Baker Selection,playlist_import,,NLA279500913,true,
Rock Your Baby,George McCrae,2010,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2010 (estimated_year) differs from MusicBrainz 1974,2010,2010,1974,mb_ok,2016,,,,1974,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2010 (csv_year) differs from MusicBrainz 1974,36,6pMHMzwTsWIxLigr54GGVm,Rock Your Baby,George McCrae,playlist_import,,GBAYE7400155,true,
Un'Estate Italiana (Notti Magiche) - Stadio Version,"Gianna Nannini, Edoardo Bennato",1987,csv_year,existing_year_conflict,artist_or_title_mismatch; existing_year 1987 (estimated_year) differs from MusicBrainz 1989,1987,1987,1989,mb_match_uncertain,2020,,,,,existing_year_conflict,artist_or_title_mismatch; existing_year 1987 (csv_year) differs from MusicBrainz 1989,2,50jCUPNEHtmLfK6PQzcnOH,Un'Estate Italiana (Notti Magiche) - Stadio Version,"Gianna Nannini, Edoardo Bennato",playlist_import,,ITZ049900408,true,
Baila Me,Gipsy Kings,1991,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1991 (estimated_year) differs from MusicBrainz 1988,1991,1991,1988,mb_ok,2012,,,,1988,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1991 (csv_year) differs from MusicBrainz 1988,3,06HRc41zK97Hh9AcuyXVZn,Baila Me,Gipsy Kings,playlist_import,,GBARL0700383,true,
Radar Love,Golden Earring,2008,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2008 (estimated_year) differs from MusicBrainz 1973,2008,2008,1973,mb_ok,2015,,,,1973,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2008 (csv_year) differs from MusicBrainz 1973,35,4Zau4QvgyxWiWQ5KQrwL43,Radar Love,Golden Earring,playlist_import,,NLC287300054,true,
La Vie en rose,Grace Jones,2015,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2015 (estimated_year) differs from MusicBrainz 1977,2015,2015,1977,mb_ok,2009,,,,1977,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2015 (csv_year) differs from MusicBrainz 1977,38,3hpa0c7IAnst3pdnZTXGXT,La Vie en rose,Grace Jones,playlist_import,,USIR27700004,true,
Axel F,Harold Faltermeyer,1988,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1988 (estimated_year) differs from MusicBrainz 1984,1988,1988,1984,mb_ok,2014,,,,1984,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1988 (csv_year) differs from MusicBrainz 1984,4,2kgqupahrJpYB4r1poTXEY,Axel F,Harold Faltermeyer,playlist_import,,USMC18416586,true,
"Zeit, dass sich was dreht - Deutsche Version","Herbert Grönemeyer, Amadou, Mariam",2008,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2008 (estimated_year) differs from MusicBrainz 2006,2008,2008,2006,mb_ok,2016,,,,2006,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2008 (csv_year) differs from MusicBrainz 2006,2,2ln6685JphEqCJYclkusqW,"Zeit, dass sich was dreht - Deutsche Version","Herbert Grönemeyer, Amadou, Mariam",playlist_import,,DEC610800606,true,
Country Roads (Dance Radio Version),Hermes House Band,2015,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2015 (estimated_year) differs from MusicBrainz 2001,2015,2015,2001,mb_ok,2024,,,,2001,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2015 (csv_year) differs from MusicBrainz 2001,14,0yD9qeu9sM5HhKWzv8dZ5N,Country Roads (Dance Radio Version),Hermes House Band,playlist_import,,NLA910100123,true,
No Doubt About It,Hot Chocolate,1987,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1987 (estimated_year) differs from MusicBrainz 1980,1987,1987,1980,mb_ok,1987,,,,1980,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1987 (csv_year) differs from MusicBrainz 1980,7,1XcyciZOU2UcFgvSlFazeW,No Doubt About It,Hot Chocolate,playlist_import,,GBAYE8000032,true,
Ratzfatz nach Mallorca,Ibo,2017,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2017 (estimated_year) differs from MusicBrainz 2000,2017,2017,2000,mb_ok,2009,,,,2000,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2017 (csv_year) differs from MusicBrainz 2000,17,6G2lRHL7CJjHEaf6AGK9Q5,Ratzfatz nach Mallorca,Ibo,playlist_import,,DEA760003101,true,
Nutbush City Limits,Ike & Tina Turner,2008,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2008 (estimated_year) differs from MusicBrainz 1973,2008,2008,1973,mb_ok,2005,,,,1973,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2008 (csv_year) differs from MusicBrainz 1973,35,06yREZ9X92R2e9RJpdzZ2O,Nutbush City Limits,Ike & Tina Turner,playlist_import,,USEM37300029,true,
Sweat (A La La La La Long),Inner Circle,2010,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2010 (estimated_year) differs from MusicBrainz 1992,2010,2010,1992,mb_ok,2010,,,,1992,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2010 (csv_year) differs from MusicBrainz 1992,18,1SssFw74DdHVjRa6ADggdD,Sweat (A La La La La Long),Inner Circle,playlist_import,,USA2P1004785,true,
What A Feeling,Irene Cara,2007,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2007 (estimated_year) differs from MusicBrainz 1998,2007,2007,1998,mb_ok,2007,,,,1998,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2007 (csv_year) differs from MusicBrainz 1998,9,0aAR5HogGoT68EWFbyRFqx,What A Feeling,Irene Cara,playlist_import,,USA560619873,true,
