title,artist,estimated_year,spotify_track_id,isrc
I Want To Break Free,Queen,2018,7iAqvWLgZzXvH38lA06QZg,GBUM71805978
Livin' la Vida Loca,Ricky Martin,1999,0Ph6L4l8dYUuXFmb71Ajnd,NLB639920005
Drill Instructor - Short Mix,Captain Jack,1996,4ypMF4LbWGUbnamCqJc5RO,DED710506021
Need You Now,Lady A,2010,7GAaTpSoTWUTbP2Yxlt4Hd,USCN10900695
No Air (feat. Chris Brown),"Jordin Sparks, Chris Brown",2007,1jUA4rb6ZCv4gby4YU53xq,GBCTA0700277
Be-Bop-A-Lula,"Gene Vincent & His Blue Caps, Gene Vincent",1996,0TMrV95mP7sDlvbE4iVfKP,USCA28800076
Save Your Kisses for Me,Brotherhood of Man,2013,5OhwfIapBiHdIkxscQAcmq,ES64A1056506
Austin (Boots Stop Workin'),Dasha,2024,2uqYupMHANxnwgeiXTZXzd,QZTB92360479
Unforgettable,Nat King Cole,1954,648TTtYB0bH0P8Hfy0FmkL,USCA25100005
Power to All Our Friends,Cliff Richard,1989,4oJxJpFIGUHlX6limr6rH1,GBAYE7300049
On My Own,"Patti LaBelle, Michael McDonald",1986,5HrVgmO1govSOrPUehW1VV,USMC18618950
Material Girl,Madonna,2009,22sLuJYcvZOSoLLRYev1s5,USWB10903617
The Sweet Escape,"Gwen Stefani, Akon",2006,07K4GcCDSTiXUF5ssyTRUM,USUM70618684
Chemical,Post Malone,2023,5w40ZYhbBMAlHYNDaVJIUu,USUM72305205
When I Come Around,Green Day,1994,1Dr1fXbc2IxaK1Mu8P8Khz,USRE19900154
First Time,Robin Beck,2007,1FQ0ecMZMI3ArhcJQPROFP,GBF088800002
We Are Family - 1995 Remaster,Sister Sledge,1979,5IKLwqBQG6KU6MP2zP80Nu,USAT20102166
My Friend The Wind,Demis Roussos,2016,3QPbpts7SUadpe02WjdLPH,FRZ037300130
Pump Up The Jam,Technotronic,1989,21qnJAMtzC6S5SESuqQLEK,BED018901375
Lose Control,Teddy Swims,2023,17phhZDn6oGtzMe56NuWvj,USWB12302315
"December, 1963 (Oh What a Night!)",The Four Seasons,1975,1hQFF33xi8ruavZNyovtUN,USRH10175221
Pompeii,Bastille,2013,6fNhZRFEkBfgW39W3wKARJ,GBAAA1200795
Pony,Ginuwine,1999,6mz1fBdKATx6qP4oP1I65G,USSM19605851
ABC,The Jackson 5,2022,4u7ZqpIkq2sDdQD22JOFLZ,USMO17082628
THATS WHAT I WANT,Lil Nas X,2021,0e8nrvls4Qqv5Rfa2UhqmO,USSM12105732
DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",2010,4356Typ82hUiFAynbLYbPn,USLF21000041
Killing Me Softly With His Song,"Fugees, Ms. Lauryn Hill",1996,0Q0IVlqMV64kNLlwjPj0Hl,USSM19600055
Release Me,Agnes,2008,4LiJE6pqgsTX3FtukW6bNh,DKBV70806405
King Of The Road,Roger Miller,1965,3XG7bMVcMWLIn2k9jLAaAt,USPR36407083
A Brand New Day (Everybody Rejoice),Diana Ross,2015,4BycBftNAIjZQr0smhqDBy,USUM71517775
Chandelier,Sia,2014,4VrWlk8IQxevMvERoX08iC,USRC11400498
Houdini,Dua Lipa,2024,6D8y7Bck8h11byRY88Pt2z,GBAHT2301246
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",2021,1r9xUipOqoNwggBpENDsvJ,USUM72119916
He Wasn't Man Enough - Radio Edit,Toni Braxton,2003,3CBgnToo7AtvvgdxiVvUz6,USLF20000048
Losing My Religion,R.E.M.,1991,31AOj9sFz2gM0O3hMARRBx,USC4R1605373
Brown Sugar,The Rolling Stones,1971,34K7nU8EWQIRI93RfqhdRJ,USA177110010
Crazy About Her,Rod Stewart,2015,3aJlgysR26p6rToB9zBi69,USWB19903456
Running In The Family,Level 42,2016,4R4JeB3NRZbCLM1mlq1WjB,GBAKW8701001
Vogue,Madonna,2009,27QvYgBk0CHOVHthWnkuWt,USWB10903600
Kings & Queens,Ava Max,2020,7a53HqqArd4b9NF4XAmlbI,USAT21906943
Oops!...I Did It Again,Britney Spears,2000,6naxalmIoLFWR0siv8dnQQ,USJI10000100
In the Ghetto,Elvis Presley,1969,7KWoeBqSdZHEloYKVxssfG,USRC16906016
My Girl,The Temptations,1965,745H5CctFr12Mo7cqa1BMH,USMO16490001
So What,P!nk,2008,0JiY190vktuhSGN6aqJdrt,USLF20800067
