title,artist,estimated_year,spotify_track_id,isrc
Daddy DJ,Daddy DJ,2017,6MPTmoLt4IaL1XKRgKER4I,QM6N21558928
My Sharona,The Knack,1979,1HOMkjp0nHMaTnfAkslCQj,USCA28900153
Oye Mi Canto,Gloria Estefan,1989,3SzdlxAyPc6ryrPCAEob4N,USSM18900359
Wipe Out,The Surfaris,2005,4SDGb2V6J2rEbxNujwNeMl,USTC40862543
Honky Tonk Women,The Rolling Stones,2019,3fnPv1LRMxENr63afVhaz1,USA171920240
i like the way you kiss me,Artemas,2024,2GxrNKugF82CnoRFbQfzPf,QZJ842400387
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2018,7ef4DlsgrMEH11cDZd32M6,GBARL1800368
Da Doo Ron Ron (When He Walked Me Home),The Crystals,2011,0fonScmHUzC0MglSLn9saA,USQX91100116
As It Was,Harry Styles,2022,4LRPiXqCikLlN15c3yImP7,USSM12200612
California Girls,The Beach Boys,2012,0mwr3py9MZIOdvOrI31h6r,USCA21202105
Low (feat. T-Pain),"Flo Rida, T-Pain",2008,0CAfXk7DXMnon4gLudAp7J,USAT20705841
On The Floor,"Jennifer Lopez, Pitbull",2011,3C0nOe05EIt1390bVABLyN,USUM71104034
School's Out,Alice Cooper,1972,5Z8EDau8uNcP1E8JvmfkZe,USWB19900782
Sweet Caroline,Neil Diamond,1969,62AuGbAkt8Ox2IrFFb8GKV,USMC16991138
Mi Gente - Original Mix,"J Balvin, Willy William",2017,7lHZVqUWCH19fUw0ZI2euy,FR22F1701790
Levels - Radio Edit,Avicii,2011,5UqCQaDshqbIk3pkhy4Pjg,SEUM71100962
Stuck In The Middle With You,Stealers Wheel,1972,3Vby4nGmtbDo7HDJamOWkT,GBAAM7200002
Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",2014,0puf9yIluy9W0vpMEUoAnN,USUM71409737
Friday On My Mind,The Easybeats,1965,3Jw1RfDEUEBBIIyNjGt9xP,AUAP06600062
French Kiss - The Original Underground Mix,"Lil' Louis, The World",1996,7hnqJYCKZFW7vMoykaraZG,USSM18900036
Like a Prayer,MadHouse,2002,0PLGnOgmf8RPgZNkaaSYyM,FRO060200100
Rock Your Baby,George McCrae,2010,6pMHMzwTsWIxLigr54GGVm,GBAYE7400155
Round Round,Sugababes,2002,5O2Ft5ENCfAh6JCgykJs76,GBAAN0201114
Let's Talk About Sex,Salt-N-Pepa,1990,6hTBP6QLwJdxbKyLlLXrGo,USIR20180412
Ti Sento,Matia Bazar,1985,72BnKkKnrOeCDY9vy2avFk,ITPOO8500002
Stronger,Kanye West,2007,0j2T0R9dR9qdJYsB7ciXhf,USUM70741299
Candyman,Christina Aguilera,2006,5lUTzPuiloBHm1qEaJcJfF,USRC10600413
How Do You Do!,Roxette,2016,2D7GRdSAcRkBsDtXsnjh1v,SEAMA9252010
Pray,DJ BoBo,1996,0UQhKr79tTjADwLHb77CwE,DEMI69600002
I Want It That Way,Backstreet Boys,1999,47BBI51FKFwOMlIiX6m8ya,USJI19910614
Rhythm Of The Night,DeBarge,1985,5yGTQzYbEdY6B9RFZJypgt,USMO18500526
The Emptiness Machine,Linkin Park,2024,2PnlsTsOTLE5jnBnNe2K0A,USWB12403464
Oh Carolina,Shaggy,2008,6uufzRkA8oCsvnz2QSoJ4J,GBAAA9200185
The Final Countdown,Europe,1986,3MrRksHupTVEQ7YbA0FsZK,USSM18600196
A Dios Le Pido,Juanes,2002,129lYDVKnWtlJc2PZJviuA,USUL10200158
Mr. Brightside,The Killers,2004,003vvx7Niy0yvhvHt4a68B,USIR20400274
Bootylicious,Destiny's Child,2001,41nT1Sp6ChR65FbsdLlFHW,USSM10102677
"Schnaps, das war sein letztes Wort",Willy Millowitsch,2009,5fY1cimPkXg4fgiYQlHjrJ,DEA347800973
Sound Of The Underground,Girls Aloud,2003,0SKjqIViHaXWhmaKuJbMrq,GBAKW0201569
