title,artist,estimated_year,spotify_track_id,isrc
Joker And The Thief,Wolfmother,2005,6dNJ3lasVLPd0078T9yqlm,AUUM70500115
Don't Threaten Me with a Good Time,Panic! At The Disco,2016,2fh3bZ8jZhMxOcfESE9nQY,USAT21503695
To Hell and Back,Sabaton,2014,1BrgjqSg9du0lj3TUMLluL,SE2EG1400105
All Star,Smash Mouth,1999,3cfOd4CMv2snFaKAnMdnvK,USIR19902220
White Trash Millionaire,Black Stone Cherry,2011,3UWYmWg9j8KVV08ANBqcLB,NLA321190959
Getting Along,Royal Republic,2016,1Ly7xppUgLEZ4iwxRAR9Sf,DEUM71503581
I'd Do Anything For Love (But I Won't Do That) - Single Edit,Meat Loaf,1993,3IuSgREoO5y88HdIcE2Xee,USMC19341323
Risin' High - Def Core Grind Version,H-Blockx,2004,0H16myxA7GIjekgP0YC8Sa,DED149300010
Fake It,Seether,2007,4eAwB5pnKFTmsgc3zWoYO0,USWU30700132
Seven Nation Army,The White Stripes,2003,3dPQuX8Gs42Y7b454ybpMR,USVT10300001
Love Hurts,Nazareth,2009,11lz5IuUrg2qVuNrGPRVq2,USAM17502195
Gimme Shelter,The Rolling Stones,1969,6H3kDe7CGoWYBabAeVWGiD,USA176910020
The Kids Aren't Alright,The Offspring,1998,4EchqUKQ3qAQuRNKmeIpnf,USSM19804363
Self Esteem,The Offspring,1994,1FkoVC85Ds3mFoK0fVqEqP,USEP40312208
Jekyll and Hyde,Five Finger Death Punch,2015,6efSwlK3LOlWOeKK9xlUKF,US5Z51500620
S.O.S. (Sawed Off Shotgun),The Glorious Sons,2017,1FjvK5qumqi0sMbw8yqmMX,CABD61705406
Red Flag,Billy Talent,2006,2RZWdE8kYPlCAcRUYDeuLC,USAT20612281
Heaven Knows,The Pretty Reckless,2014,7F5jxmwf1uWVqh6nbYz7rl,USRZR1353301
"Dance, Dance",Fall Out Boy,2005,0a7BloCiNzLDD9qSQHh5m7,USDJ20500174
Help,Papa Roach,2017,0IbiFpXPFpvCAIs9WMX5wC,USDPK1700067
You Give Love A Bad Name,Bon Jovi,1986,0rmGAIH9LNJewFw7nKzZnc,USPR39402224
All Day and All of the Night,The Kinks,1964,1mfV2kv9RwFKVI8kEQlmOJ,GBAJE6400007
Every You Every Me,Placebo,1998,2Srd8Jgif3kc6ou6Z4pSYJ,GBAAA9820460
Paradise City,Guns N' Roses,1987,6eN1f9KNmiWEhpE2RhQqB5,USGF18714806
Monsters (feat. blackbear),"All Time Low, blackbear",2020,0tyR7Bu9P086aWBFZ4QJoo,USAT22000034
Enter Sandman,Metallica,1991,5sICkBXVmaCQk5aISGR3x1,GBF089190013
Nothin' But A Good Time,Poison,1988,6G09JrmKdDAe29eSH8ZQmR,USCA28800138
You're The One,Greta Van Fleet,2018,0iYBNrznkCwhN3xCmNVJpo,USUM71811327
I'm a Believer,The Monkees,2008,1CSLeVCXmetBh8IkTPMFdL,USRH10125749
Guerrilla Radio,Rage Against The Machine,1999,1wsRitfRRtWyEapl0q22o8,USSM19919500
Down with the Sickness,Disturbed,2000,40rvBMQizxkIqnjPdEWY1v,USGI19900180
Stay,"Maurice Williams, Zodiacs",1961,12BB5t506Of3s3NPBoKScC,DEXO32234723
Open Your Eyes,Guano Apes,1997,5oxpT46KeiEuckYnChgFFT,DEC689700412
1979,The Smashing Pumpkins,2001,3h5zik31hTTat9jmpCZZNC,USVI29500052
Like a Stone,Audioslave,2002,2MrWu3Gt6ucsOHC6eE8oLV,USSM10211587
Radioactive,Kings of Leon,2010,60CirPlTOEWOUBus7HxV3B,USRC11000673
Ocean Avenue,Yellowcard,2003,23oxJmDc1V9uLUSmN2LIvx,USCA20300233
Man in the Box,Alice In Chains,1990,6gZVQvQZOFpzIy3HblJ20F,USSM19000727
Cherry Pie,Warrant,1990,7LygtNjQ65PSdzVjUnHXQb,USSM10006917
Higher,Creed,1999,1ZozJfi8u9cO2Ob8KwiwNT,USWU39909053
Drive,Incubus,1999,7nnWIPM5hwE3DaUBkvOIpy,USSM19911007
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,1979,7rPzEczIS574IgPaiPieS3,GBN9Y1100099
"Girls, Girls, Girls",Mötley Crüe,1987,3439OLNIeD3y68kVuoZUO5,USBY29900190
Lonely Boy,The Black Keys,2011,5G1sTBGbZT5o4PNRc75RKI,USNO11100273
Fortunate Son,Creedence Clearwater Revival,1969,4BP3uh0hFLFRb5cjsgLqDh,USC4R0817618
Push,Matchbox Twenty,1996,2KVwlelhxKUy8LVV6JypH3,USAT29600042
Mr. Brightside,The Killers,2004,003vvx7Niy0yvhvHt4a68B,USIR20400274
Free Fallin',Tom Petty,1989,5tVA6TkbaAH9QMITTQRrNv,USMC18925673
Come Together - Remastered 2009,The Beatles,1969,2EqlS6tkEnglzr7tkKAAYD,GBAYE0601690
Dream On,Aerosmith,1973,1xsYj84j7hUDDnTTerGWlH,USSM10011897
Army of the Night,Powerwolf,2015,6vQT1Y3MTGCpc31VIF5Ela,ATN261558603
"Paint It, Black",The Rolling Stones,1966,63T7DJ1AFDD6Bn8VzG6JE8,USA176610020
Everlong,Foo Fighters,1997,5UWwZ5lm5PKu6eKsHAGxOk,USRW29600011
Tanzt du noch einmal mit mir?,Broilers,2011,1QH6osxkowQm4nkulzn7wX,GBDHC1122904
Run To You,Bryan Adams,1984,2RWFncSWZEhSRRifqiDNVV,USAM18490003
I Hate Everything About You,Three Days Grace,2003,6rUp7v3l8yC4TKxAAR5Bmx,USJI10300075
Separate Ways,Journey,2008,4NiyMmBdlVHpZWScgdBvnt,ITG270800246
Still into You,Paramore,2013,1yjY7rpaAQvKwpdUliHx0d,USAT21300012
Sharp Dressed Man,ZZ Top,2014,7aXgo7vAHDjHR0JrCX2qJv,USWB10901928
Barracuda,Heart,1977,4KfSdst7rW39C0sfhArdrz,USSM10009075
Last Resort,Papa Roach,2000,5W8YXBz9MTIDyrpYaCg2Ky,USDW10021712
Born To Be Wild,Steppenwolf,1968,63OFKbMaZSDZ4wtesuuq6f,USMC16846563
Buddy Holly,Weezer,1994,3mwvKOyMmG77zZRunnxp9E,USGF19562907
Your Betrayal,Bullet For My Valentine,2010,25GC50HslaaruyrKjdu0lP,USJI11000030
She Sells Sanctuary,The Cult,1985,3qLZ866ZfaK0B0R5FIqXLG,GBAZP9700076
Coming Undone,Korn,2005,3o7TMr6RmIusYH7Kkg7ujR,USVI20500588
Jailhouse Rock,Elvis Presley,1958,4gphxUgq0JSFv2BCLhNDiE,USRC15705223
Break,Three Days Grace,2009,1uDoIHd5SWYKWvorJvMoWE,USJI10900480
Riptide,Beartooth,2023,4Xgono4pmRbojXlCIYh8or,USP6L2201114
Hey Joe,Jimi Hendrix,1967,0OQcEcs36ckWOB1nywhmBV,USQX90900767
The Anthem,Good Charlotte,2002,0BRHnOFm6sjxN1i9LJrUDu,USSM10209827
Entre dos tierras,Heroes Del Silencio,1990,4rJdaSwOCHLBhxdMsymeMw,ES5089000064
1985,Bowling For Soup,2004,4UuHWIkAWnN176A2rx7YFB,USJI10400613
Mother,Danzig,1988,7txxAtOMwLLnQTpKeBL6bp,USSM18800169
Dark Matter,Pearl Jam,2024,0S4VR8n0KBkE6DxrjArswJ,USUG12309749
Won’t Stand Down,Muse,2022,6Wi8Byfq6xH0lEkqZbOZg9,GBAHT2102036
School's Out,Alice Cooper,1972,5Z8EDau8uNcP1E8JvmfkZe,USWB19900782
My Own Summer (Shove It),Deftones,1997,1158ckiB5S4cpsdYHDB9IF,USMV29700142
Trouble’s Coming,Royal Blood,2021,6voIJ7OWwRabSZDC77D5Hp,GBAHT2000193
Panama,Van Halen,1996,42Lq6GBO5KUSNeSgJsOoke,USWB18300002
All I Want,A Day To Remember,2010,4JsDHMv5PVO8N07DbDq33r,USVIC1060302
Walk This Way,Aerosmith,1975,4JfuiOWlWCkjP6OKurHjSn,USSM19906481
Johnny B. Goode,Chuck Berry,1959,2QfiRTz5Yc8DdShCxG1tB2,USMC15719963
Song 2,Blur,2000,3GfOAdcoc3X5GPiiXmpBjK,GBAYE9600015
Stacy's Mom,Fountains Of Wayne,2003,27L8sESb3KR79asDUBu8nW,USESC0300016
Rockstar,Nickelback,2005,3RlsVPIIs5KFhLFhxZ4iDF,NLA320581343
Raining Blood,Slayer,1986,4fiOTntQKr24p07FvQDHZE,USSM18600241
Monster,Skillet,2009,5XQNN3cHwYRzPv08CHuQNZ,USAT20901851
Dirty Little Secret,The All-American Rejects,2005,5ZdzNVOmCSp5HFLk0EgvJS,USDW10500128
