title,artist,csv_year,mb_year,mb_year_source,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,final_year
Swing The Mood,Jive Bunny and the Mastermixers,2009,1994,musicbrainz,15,3Aimpqxpvmz7jhJlNnEd5c,Swing The Mood,Jive Bunny and the Mastermixers,playlist_import,,GBCMJ9905669,true,1994
Perdona,Tiziano Ferro,2016,2001,musicbrainz,15,4T3o83F13gwUaF0xCtAfNl,Perdona,Tiziano Ferro,playlist_import,,ITB920200002,true,2001
Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",2018,2004,musicbrainz,14,0utLWSIbolqT7KyppMuxKY,Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",playlist_import,,USAR10301423,true,2004
Country Roads (Dance Radio Version),Hermes House Band,2015,2001,musicbrainz,14,0yD9qeu9sM5HhKWzv8dZ5N,Country Roads (Dance Radio Version),Hermes House Band,playlist_import,,NLA910100123,true,2001
Ich bin der Martin 'ne,Diether Krebs,2005,1991,musicbrainz,14,2znqUPNy69gC4l5cC6CtAK,Ich bin der Martin 'ne,Diether Krebs,playlist_import,,DEG419900676,true,1991
Footloose,Kenny Loggins,1997,1984,musicbrainz,13,6W2VbtvMrDXm5vYeB7amkO,Footloose,Kenny Loggins,playlist_import,,USSM18400107,true,1984
Everybody,DJ BoBo,2006,1993,musicbrainz,13,4Kc0S6bWVeO7Q4SoMPAyX1,Everybody,DJ BoBo,playlist_import,,DEMI60600006,true,1993
Don't Stop,Fleetwood Mac,1988,1977,musicbrainz,11,6l6vgKIgXLnqgSMqf4nGNc,Don't Stop,Fleetwood Mac,playlist_import,,USWB19900180,true,1977
Suavemente,Elvis Crespo,2008,1998,musicbrainz,10,1YwPNemawMgGe6sF4U0FTE,Suavemente,Elvis Crespo,playlist_import,,USSD19700576,true,1998
Hey Baby (Radio Mix),DJ Ötzi,2010,2000,musicbrainz,10,0HNXnhNZZtRZFLhP4hfyCP,Hey Baby (Radio Mix),DJ Ötzi,playlist_import,,ATHE51081010,true,2000
Barbara Ann,The Beach Boys,1975,1965,musicbrainz,10,2KOt2JrCB720UxIbyzweQo,Barbara Ann,The Beach Boys,playlist_import,,USCA28600057,true,1965
All Night Long (All Night) - Single Version,Lionel Richie,1992,1983,musicbrainz,9,4czNORk5MjW5WOn98bki32,All Night Long (All Night) - Single Version,Lionel Richie,playlist_import,,USMO18390005,true,1983
Mama Loo,Les Humphries Singers,1982,1973,musicbrainz,9,3Y37ytfQDMp2KTA1SG9bpl,Mama Loo,Les Humphries Singers,playlist_import,,DEA619351680,true,1973
Macarena,Los Del Rio,2002,1993,musicbrainz,9,6mhw2fEPH4fMF0wolNm96e,Macarena,Los Del Rio,playlist_import,,ES5109500538,true,1993
Be My Lover,La Bouche,2003,1994,musicbrainz,9,3vSn1frPgFcRXrjWOfhMLl,Be My Lover,La Bouche,playlist_import,,DED160200012,true,1994
What A Feeling,Irene Cara,2007,1998,musicbrainz,9,0aAR5HogGoT68EWFbyRFqx,What A Feeling,Irene Cara,playlist_import,,USA560619873,true,1998
No Doubt About It,Hot Chocolate,1987,1980,musicbrainz,7,1XcyciZOU2UcFgvSlFazeW,No Doubt About It,Hot Chocolate,playlist_import,,GBAYE8000032,true,1980
"I'll Be Missing You (feat. Faith Evans, 112)","Diddy, Faith Evans, 112",2004,1997,musicbrainz,7,3QHONiXGMGU3z68mQInncF,"I'll Be Missing You (feat. Faith Evans, 112)","Diddy, Faith Evans, 112",playlist_import,,USBB40581044,true,1997
Cose Della Vita (with Tina Turner),"Eros Ramazzotti, Tina Turner",2004,1997,musicbrainz,7,2bJtJv5NGkYUFP6prU3WSg,Cose Della Vita (with Tina Turner),"Eros Ramazzotti, Tina Turner",playlist_import,,ITB009700361,true,1997
Backseat of Your Cadillac - Single Version,C.C. Catch,2018,2025,musicbrainz,7,08ELdy0Y3kHX59SR5qy69z,Backseat of Your Cadillac - Single Version,C.C. Catch,playlist_import,,DEH820500223,true,2025
Akropolis Adieu,Mireille Mathieu,1976,1971,musicbrainz,5,5mmuzYKRWwpgsUNxhMg2ZW,Akropolis Adieu,Mireille Mathieu,playlist_import,,DEC717100002,true,1971
Played-A-Live (The Bongo Song) - Radio Edit,Safri Duo,2005,2000,musicbrainz,5,2MDdh4rbNNBiy8l6XgI6E9,Played-A-Live (The Bongo Song) - Radio Edit,Safri Duo,playlist_import,,DKBKA0001601,true,2000
Mr. Saxobeat,Alexandra Stan,2016,2011,musicbrainz,5,2BTSWfjaTMYWCxhmVRhqLK,Mr. Saxobeat,Alexandra Stan,playlist_import,,ROCRP1002864,true,2011
Butterfly,Danyel Gerard,1975,1970,musicbrainz,5,72rLswhYvQz9LRx3LogMIW,Butterfly,Danyel Gerard,playlist_import,,FRZ087500010,true,1970
Evacuate the Dancefloor,Cascada,2012,2008,musicbrainz,4,4Zfq7r0v4FKeoxwhyLYSyb,Evacuate the Dancefloor,Cascada,playlist_import,,DEHK90911301,true,2008
Axel F,Harold Faltermeyer,1988,1984,musicbrainz,4,2kgqupahrJpYB4r1poTXEY,Axel F,Harold Faltermeyer,playlist_import,,USMC18416586,true,1984
Baila Me,Gipsy Kings,1991,1988,musicbrainz,3,06HRc41zK97Hh9AcuyXVZn,Baila Me,Gipsy Kings,playlist_import,,GBARL0700383,true,1988
Summer Jam 2003 - DJ F.R.A.N.K's Summermix Short,The Underdog Project,2000,2003,musicbrainz,3,78Mqt7lWuaxVhN0ZptsuCY,Summer Jam 2003 - DJ F.R.A.N.K's Summermix Short,The Underdog Project,playlist_import,,DEN060401576,true,2003
Voyage voyage,Desireless,1989,1986,musicbrainz,3,2d8D7uk3tbAThjRkdfrx9c,Voyage voyage,Desireless,playlist_import,,DEQ858600201,true,1986
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),"felix jaehn, Jasmine Thompson",2018,2015,musicbrainz,3,3c8iiZGfEammKJuWTErE5x,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),"felix jaehn, Jasmine Thompson",playlist_import,,DEUM71500425,true,2015
