title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
I'm Too Sexy,Right Said Fred,1992,2WElktskrNJEwgpp5Vouxk,GBBRL9290469,Up,album,1992-01-07,170466,Right Said Fred,3,1
Stand By Me,Ben E. King,1962,3SdTKo2uVsxFblQjpScoHy,USAT21402270,Don't Play That Song (Mono),album,1962-08-20,180055,Ben E. King,7,1
Watermelon Sugar,Harry Styles,2019,6UelLqGlWMcVH1E5c4H7lY,USSM11912587,Fine Line,album,2019-12-13,173991,Harry Styles,2,1
The Bad Touch,Bloodhound Gang,1999,5EYdTPdJD74r9EVZBztqGG,USIR19902530,Hooray For Boobies,album,1999-10-04,260506,Bloodhound Gang,10,1
Don't Leave Me This Way (with Sarah Jane Morris),"The Communards, Sarah Jane Morris",1986,0ire4j2mcGovF5JA1D2cTp,GBANP8600001,Communards,album,1986-01-01,271066,The Communards,1,1
Faith,George Michael,1998,59eAcAyhYSLi5GKFrgHJzG,GBBBM8702010,Ladies And Gentlemen... The Best Of George Michael,compilation,1998-11-09,194493,George Michael,14,2
Wszystko czego dziś chcę,Izabela Trojanowska,2006,7Gykqx9u74ZTSJtZxUzNQk,PLB170701444,"Komu więcej, komu mniej (The Best)",album,2006-05-18,233173,Izabela Trojanowska,5,1
Ewakuacja,Ewa Farna,2018,4xjDc37cLy3ZE6C4oJswN5,PLUM71000777,Siła polskiej muzyki - Radio Zet,compilation,2018-11-09,199666,Various Artists,24,1
Be My Baby,The Ronettes,2011,2G2YzndIA6jeWFPBXhUjh5,USQX91100088,Be My Baby: The Very Best of The Ronettes,compilation,2011-02-22,160906,The Ronettes,2,1
Moving on Up,M People,1998,6vGW3d8X48CBaLdU0PQbey,GBARL9300289,The Best Of M People,compilation,1998-10-29,215533,M People,3,1
BUBBLETEA,"Quebonafide, Duit, Daria Zawiałow",2020,4FD8J0l0Wrw5HdNV2Dj1ST,PLV402000713,ROMANTIC PSYCHO,album,2020-04-02,284000,Quebonafide,15,1
Sexy And I Know It,LMFAO,2013,0KXcsCinixGmfcXjBqfEis,USUM71108090,100x Zomer 2013,compilation,2013-01-01,199706,Various Artists,19,1
Antidotum,Kasia Kowalska,2002,0MYaObalRrtwv5IGgrsrtA,PLUM70700684,Antidotum,album,2002-01-01,257333,Kasia Kowalska,3,1
Sobie i Wam,"Męskie Granie Orkiestra, Nosowska, Igo, Organek, Krzysztof Zalewski",2019,0YzTIFEIUkZofXozAQWvGv,PLA811900257,Sobie i Wam,single,2019-05-30,203080,Męskie Granie Orkiestra,1,1
Bye Bye Bye,*NSYNC,2000,4r8lRYnoOGdEi6YyI5OC1o,USJI10000001,No Strings Attached,album,2000-03-21,200560,*NSYNC,1,1
California Dreamin',The Mamas & The Papas,2001,1ZEOIhSn6BKErV59bIgn76,USMC16532697,All The Leaves Are Brown The Golden Era Collection,compilation,2001-08-28,160373,The Mamas & The Papas,7,1
Kocham cię jak irlandię,Kobranocka,2004,4fJGiLOU3etMQTOE3HFIEz,PLB170702079,Póki to nie zabronione (The Best),album,2004-01-29,294066,Kobranocka,5,1
Ja Wysiadam,Anna Maria Jopek,2014,5pmYag44sVWyi7iWkSwmX5,PLA391488704,65 Lat Polskiej Piosenki 2,compilation,2014-01-14,210360,Various Artists,4,4
Cryin',Aerosmith,1993,0NJC0FDCODpPUntRTTQq97,USIR10000430,Get A Grip,album,1993-01-01,308333,Aerosmith,9,1
I'm in the Mood for Dancing,The Nolans,2009,4Zz4cvbhd6BPcpdaEMCJST,GBBBM0400153,Get The Party Started: Essential Pop and Dance Anthems,compilation,2009-10-02,197533,Various Artists,52,1
Dumka na dwa serca (feat. Mieczysław Szcześniak),"Edyta Górniak, Mietek Szczesniak",2004,5ypKHdeaJEzZfViLGxfNm8,PLA559800499,Złota Kolekcja,album,2004-03-27,257665,Edyta Górniak,6,1
"Policeman (feat. Jambojet, USPM)","Jamal, Jambojet, USPM",2005,5bTRw958W3Gf95RwXgJ2ql,PLA550500048,Rewolucje,album,2005-06-03,248840,Jamal,6,1
