title,artist,estimated_year,spotify_track_id,isrc
"Verlieben, verloren, vergessen, verzeih'n",Wolfgang Petry,1996,4sNUL4pMNayXyTDfmVe3bH,DEH499200001
Du Depp,Haindling,2013,2GWJsABLaEgkROz0nj3XOE,DEF068403500
Mary Jane,Jürgen Peter,2011,4SnC7mwI24zoMB1QINaHdq,DEZ921100065
"Resi, i hol di mit mei'm Traktor ab",Wolfgang Fierek,2010,3fNkYqV5NPtJs71epbgNIH,DEA348602073
Barfuß im Regen,"Dieter Thomas Kuhn, Band, Michael Holm",2007,1lIeDS4aoI7deLuVUz9iRY,DEGW70700004
Johnny Däpp (Ich Will Mallorca Zurück),Lorenz Büffel,2016,2TBimpeTwsFPzpSRuUHw18,DEEQ81600063
Du hast mich tausendmal belogen,Andrea Berg,2001,65wKbNqjUTmdyk47Z31Czm,DEC710100031
So a schöner Tag,Donikkl,2013,4Q5F5CTGnvpKnQWyMwWGtX,DEA811300086
Kribbeln im Bauch,Pe Werner,1991,4LuIBcsu61ef2AxnNZxC4Z,DEA349102261
Hulapalu,Andreas Gabalier,2015,627QU4vNG3alCWCK1FMeLK,DEUM71500645
Michaela,Bata Illic,1997,1KPdPbyq1Kj3epj5gUtmPb,DEF067201750
Ich sterb für dich,Vanessa Mai,2016,7r0rZ3CeaedQ1JP6PvbvFq,DEA811501457
Nicht mal eine Stunde,Mike Leon Grosch,2021,0hI2hV0GlXaI4jxMfvg6ga,DEQJ32000003
Kölsche Jung,Brings,2014,6v3Rzc8reAqhJKURPWzpfR,DEUM71303655
Je T'aime Mon Amour,"Claudia Jung, Richard Clayderman",2011,5Ttn6c0XKGWrvmICP5x9S8,DEA349500705
Freu dich bloß nicht zu früh,Gitte Haenning,2007,50HAvJ4qLyUEoVsAqy60xO,DEC718000017
Die kleine Kneipe,Peter Alexander,1985,2KUe0QjJnwaQRB95yPmIbJ,DEA817600006
Die Biene Maja,Karel Gott,2014,7jbWJ8dBSFElWnoGn9XYHI,DEF067704050
Und heut' Nacht will ich tanzen,Michelle,1999,0G6CQo81dB8YUESy73fs4K,DEE869300035
Night Fever,Dieter Thomas Kuhn & Band,2012,6sCG0j2tZTdNeZvQPcKWZy,DEGW71210014
Es gibt kein Bier auf Hawaii,Paul Kuhn,2004,4Gs4xdlHoOTNszWdJsIU0Z,DEA340301090
Das Spiel Ist Aus (Game Over),Olaf Henning,2002,0hniHUJCCzDCZZ35W1ro7Z,DEG410000195
Das Lied von Manuel,Manuel & Pony,2014,63smv7iIzlW3sUHSiGtqWs,DEF067904040
Du warst der geilste Fehler meines Lebens,Nockis,2014,0pLNUaFp98Ll2eTwMeXv4x,DEUM71402214
Es gibt nur Wasser,Santiano,2012,2gxV47AHMGT7NI25NpO6Pj,DEUM71200052
So a Nacht,Spider Murphy Gang,1997,2NErf4ow27T3rZZZrjoh5i,DEA818700003
Herzilein,Rudolf Rock & Die Schocker,1990,5RdeEPFIN94JuJfUeEOop2,DEPI81100205
Der rote Mond von Agadir,Fernando Express,2008,4CUOMhDYc8NqDZTHhpKHxO,DEA340800716
Nimm einmal noch meine Hand,Ines Adler,1998,7bxfRoLTj35uJqQSeV7xWB,DEA619660001
Willkommen im Club,Ross Antony,2021,4z60dbymqBotiLzXQCdII0,DEQS92100716
Anton aus Tirol,DJ Ötzi,2010,3T5j2HrD8sG7iFzX8aXCLk,ATHE51083130
Lebt denn dr alte Holzmichl noch?,De Randfichten,2004,3jUdAELIWYWCIWU6rGlCXL,DEA340400165
Einen Traum Für Diese Welt,Xanadu,1990,2iJ6TNWbmG39pxwSwZbY0A,DEA410724307
Oberammergau - Après Ski Mix,Peter Wackel,2020,17eP4UcSwuLZdGtV4gIGLr,DEZ520501005
Katzeklo,Helge Schneider,1993,45P5X44bMEMZUsSU4Ij7GE,DEC161000071
"Ich bin kein Dichter, kein Poet",Tom Astor,2003,6wlMwfmNDtyi09cZmKZO47,DEA340300736
Alles wird gut,"Thomas Anders, Florian Silbereisen",2022,5yrc8eSlQXZ7ZUEznaQTFX,DEQS92202264
Und es war Sommer,Peter Maffay,1976,4i6mkvKRIO07bHANBNRDWe,DEA817600022
Moos Hamma,"Münchner Zwietracht, Rudolph Moshammer",2001,6TWdSrzqbsmbcr8SlfXsbT,DEA600000655
Ich will alles,Gitte Haenning,1986,6s3bDxWkPizTw8hsWv1iIi,DEC718200017
Sex & Seine Konsequenzen (DJ-Mix),Anja Regitz,2006,4GtMdXZGS7NNW7j8FXlTkz,DET150600002
Nur geträumt,Nena,1983,27DEhFC0G2olRFgCTksnfw,DEE868300002
Wir haben Grund zum Feiern,Otto Waalkes,2018,2HHhqspYQQ1F08QWQ81AR0,DEQ021802978
Ich kann nicht ohne Dich - Fox Mix,Frank Lars,2021,4Msadmmr07wR75QMkm5EHl,DEA652100090
Willst du mit mir geh'n,Daliah Lavi,1972,0MZXfdHy25Co8CSOAwB24q,DEF067102200
Millionen Frauen lieben mich - Radio 2008,Karl Dall,2008,3NVWukdx01CKSsoC1lowGJ,DEA650800121
"Grüezi Wohl, Frau Stirnimaa - Original Version",Die Minstrels,2010,0W52vwENhl06m7KJM9t8QL,CH0146900001
"Guten Morgen, liebe Sorgen",Jürgen von der Lippe,1987,4xkSmQEgAfA5bR4jQ0dbO2,DEA610100924
