title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Sailing,Rod Stewart,1975,6OuRbvP4PgbuzBIapVzmFJ,USWB10807925,Atlantic Crossing,album,1975,277960,Rod Stewart,10,1
Am Tag als Conny Kramer starb,Juliane Werding,1996,7kTHUVnGMMOHW1CLdgvzui,DEC737100002,Die großen Erfolge,album,1996-03-04,205706,Juliane Werding,2,1
Mi Gente,"J Balvin, Willy William",2017,5r6X3m7zrVHmU2lSp3DXmP,FR22F1701790,Mi Gente,single,2017-07-03,187266,"J Balvin, Willy William",1,1
One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],"Asaf Avidan, The Mojos, Wankelmut",2012,5bGG1abhVIUm6EAa36ipRX,DEQ321200132,One Day / Reckoning Song (Wankelmut Remix),single,2012-10-08,215186,"Asaf Avidan, The Mojos",1,1
I Feel Love,Donna Summer,1979,3x0wa95iAU1ZMmf3yAQkjZ,USWWW0125612,On The Radio: Greatest Hits Volumes I & II,compilation,1979-10-15,201734,Donna Summer,4,1
Summer,Calvin Harris,2014,6YUTL4dYpB9xZO5qExPf05,GBARL1400296,Motion,album,2014-10-31,222533,Calvin Harris,8,1
Du,Peter Maffay,1970,6fFshpRdAV1MHSpzXP3Yyk,DEA818100076,"Für das Mädchen, das ich liebe",album,1970-06-07,298093,Peter Maffay,10,1
Rhythm Is A Dancer,SNAP!,1992,1IWzfq3sLedGQ3fb2hAMBA,DET189200600,The Madman's Return,album,1992-01-01,332229,SNAP!,6,1
Dubi Dam Dam - Radio Edit,Banaroo,2005,6FRw4Ed7mA8b1bVbWVL3yI,DEBA20500001,Banaroo's World,album,2005-06-20,217240,Banaroo,1,1
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,2020,0qemIQjSxcKyf42VPfZnfa,NLF057790035,How Can You Mend A Broken Heart,compilation,2020-12-11,212800,Bee Gees,16,1
Yeah! (feat. Lil Jon & Ludacris),"USHER, Lil Jon, Ludacris",2018,0utLWSIbolqT7KyppMuxKY,USAR10301423,New Year's Eve - NYE 2018/2019,compilation,2018-12-07,250373,Various Artists,21,1
