title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
"I Like To Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix","Reel 2 Real, The Mad Stuntman, Erick Morillo",1994,6dHTkQYY3zdR9i9Nj0IGVW,QMRSZ1800990,Move It!,album,1994-10-10,230760,Reel 2 Real,1,1
Destination Calabria (Feat. Crystal Waters) - Original Radio Edit,Alex Gaudino,2014,2QMdxS78DaXP8aS8qJqGzU,ITL010600343,Hands Up!,compilation,2014-05-30,223111,Various Artists,11,1
Hey Ya!,Outkast,2003,2PpruBYCo4H7WOBJ7Q2EwM,USAR10300924,Speakerboxxx/The Love Below,album,2003,235213,Outkast,9,2
You're So Vain,Carly Simon,1972,2DnJjbjNTV9Nd5NOa1KGba,USEE19900883,No Secrets,album,1972,258411,Carly Simon,3,1
Everyday People,Sly & The Family Stone,1969,4ZVZBc5xvMyV3WzWktn8i7,USSM19913826,Stand,album,1969-05-03,141506,Sly & The Family Stone,6,1
How Much Is The Fish?,Scooter,2013,1H61DWGuD5nk6ZAm6Jb92B,DEN061302559,20 Years Of Hardcore (Remastered),compilation,2013-10-11,225981,Scooter,2,1
María,Ricky Martin,2013,3jkNt5kbIFmKqlry1bzs5F,MXF149500003,2500 x Top 40 - 90's & 80's,compilation,2013-06-07,268386,Various Artists,5,1
Stressed Out,Twenty One Pilots,2015,3CRDbSIZ4r5MsZ0YwxuEkn,USAT21500597,Blurryface,album,2015-05-15,202333,Twenty One Pilots,2,1
Solo (feat. Demi Lovato),"Clean Bandit, Demi Lovato",2018,6kPJZM97LwdG9QIsT7khp6,GBAHS1800328,Solo (feat. Demi Lovato),single,2018-05-17,222653,"Clean Bandit, Demi Lovato",1,1
SOS,Rihanna,2006,30cSNer6TV8x2utjULVeQ5,USUM70507379,A Girl Like Me,album,2006-04-10,238920,Rihanna,1,1
Shake It Off,Taylor Swift,2014,0cqRj7pUJDkTCEsJkx8snD,USCJY1431349,1989 (Deluxe),album,2014-01-01,219200,Taylor Swift,6,1
Kylie,Akcent,2006,1zhUaodzu43qKwK0idP6IA,ROROT0500101,Primul capitol,album,2006,246885,Akcent,11,1
Shape of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,GBAHS1600463,÷ (Deluxe),album,2017-03-03,233712,Ed Sheeran,4,1
Sussudio - 2016 Remaster,Phil Collins,1985,4qM461TqtpnP4GLRIXwEnW,USRH11600243,No Jacket Required (2016 Remaster),album,1985-01-25,263106,Phil Collins,1,1
"Poupée de cire, poupée de son",France Gall,2002,5kLCC1MMxOACV632KrSAS3,FRZ026500100,Lounge Legends: France Gall,compilation,2002-01-01,149266,France Gall,3,1
Iris,The Goo Goo Dolls,1998,6Qyc6fS4DsZjB2mRW9DsQs,USWB19800160,Dizzy up the Girl,album,1998,289533,The Goo Goo Dolls,11,1
Dirty Diana,Michael Jackson,2003,6JZYMxvcoeLD4IifJPvDux,USSM19909072,Number Ones,compilation,2003-11-17,282062,Michael Jackson,11,1
bad guy,Billie Eilish,2019,2Fxmhks0bxGSBdJ92vM42m,USUM71900764,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",album,2019-03-29,194087,Billie Eilish,2,1
La Cumbia,Sailor,1996,6rcSwxdJ4syStEmQZwiNch,DKABA1001531,Legacy (Greatest & Latest),compilation,1996-01-01,207706,Sailor,13,1
Tomorrow People,Ziggy Marley & The Melody Makers,1988,07QZEz7d4OS6vmS1iiwJCc,USVI28800002,Conscious Party,album,1988,218440,Ziggy Marley & The Melody Makers,3,1
High Hopes,Panic! At The Disco,2018,1rqqCSm0Qe4I9rUvWncaom,USAT21801174,Pray for the Wicked,album,2018-06-22,190946,Panic! At The Disco,4,1
Think,Aretha Franklin,1968,4yQw7FR9lcvL6RHtegbJBh,USAT20801206,Aretha Now,album,1968-06-14,139733,Aretha Franklin,1,1
